BIOGUIDE_ID;OFFICE;QUARTER;PROGRAM;CATEGORY;DATE;TRANSCODE;RECORDID;PAYEE;START DATE;END DATE;PURPOSE;AMOUNT;YEAR;RECIP (orig.)
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-STK SHUTTERSTOCK INC.;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;49;2017;CITI PCARD-STK SHUTTERSTOCK INC.
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/23/2017;AP;912167;DAVID L ANDRUKITIS INC;3/15/2017;3/15/2017;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;CAO SAFETY PROGRAM;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-ONLINE LABELS;01.03.17;1/28/2017;PRINTING & REPRODUCTION;77.18;2017;CITI PCARD-ONLINE LABELS
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;01.11.17;AP;E0471989;CENTRIC BUSINESS SYSTEMS INC;9/27/2016;10/27/2016;PRINTING & REPRODUCTION;195;2016;CENTRIC BUSINESS SYSTEMS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;01.11.17;AP;E0471999;CENTRIC BUSINESS SYSTEMS INC;8/27/2016;9/27/2016;PRINTING & REPRODUCTION;553.04;2016;CENTRIC BUSINESS SYSTEMS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/16/2017;AP;E0494740;XEROX CORPORATION;9/21/2016;10/21/2016;PRINTING & REPRODUCTION;568.47;2016;XEROX CORPORATION
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;01.03.17;AP;E0473096;CANON SOLUTIONS AMERICA INC;11.01.16;11/30/2016;PRINTING & REPRODUCTION;164.4;2016;CANON SOLUTIONS AMERICA INC
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;01.12.17;AP;E0477624;KEITH JEWELL;01.05.17;01.05.17;PRINTING & REPRODUCTION;3969;2017;KEITH JEWELL
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-CARTER MUSEUM;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;51;2016;CITI PCARD-CARTER MUSEUM
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;02.03.17;AP;E0483860;CANON SOLUTIONS AMERICA INC;12.01.16;12/31/2016;PRINTING & REPRODUCTION;135.04;2016;CANON SOLUTIONS AMERICA INC
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;02.07.17;AP;E0485597;KEITH JEWELL;11/30/2016;11/30/2016;PRINTING & REPRODUCTION;720;2016;KEITH JEWELL
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;02.07.17;AP;E0485597;KEITH JEWELL;12.01.16;12.01.16;PRINTING & REPRODUCTION;120;2016;KEITH JEWELL
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;02.07.17;AP;E0485599;KEITH JEWELL;12.06.16;12.06.16;PRINTING & REPRODUCTION;765;2016;KEITH JEWELL
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;2/15/2017;AP;E0487588;CANON SOLUTIONS AMERICA INC;01.01.17;1/31/2017;PRINTING & REPRODUCTION;103.06;2017;CANON SOLUTIONS AMERICA INC
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-ACCURATE WORD LLC;12/29/2016;01.02.17;PRINTING & REPRODUCTION;59.95;2017;CITI PCARD-ACCURATE WORD LLC
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;03.01.17;AP;E0491352;CANON SOLUTIONS AMERICA INC;01.01.17;1/31/2017;PRINTING & REPRODUCTION;107.74;2017;CANON SOLUTIONS AMERICA INC
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;3/22/2017;AP;E0498292;CANON SOLUTIONS AMERICA INC;02.01.17;2/28/2017;PRINTING & REPRODUCTION;217.94;2017;CANON SOLUTIONS AMERICA INC
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;3/31/2017;AP;E0501353;KEITH JEWELL;2/14/2017;2/14/2017;PRINTING & REPRODUCTION;480;2017;KEITH JEWELL
;CLERK OF THE HOUSE;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;1/17/2017;AP;E0478404;XEROX CORPORATION;6/29/2016;10/24/2016;PRINTING & REPRODUCTION;196.47;2016;XEROX CORPORATION
;OFFICE OF GENERAL COUNSEL;2017Q1;SALARIES  OFFICERS & EMPLOYEES;PRINTING AND REPRODUCTION;1/25/2017;AP;E0481659;ACCURATE WORD LLC;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
;OFFICE OF INSPECTOR GENERAL;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-ACCURATE WORD LLC;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;29.95;2017;CITI PCARD-ACCURATE WORD LLC
;OFFICE OF INSPECTOR GENERAL;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-OFFICE DEPOT;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;15.48;2017;CITI PCARD-OFFICE DEPOT
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/24/2017;AP;907769;XEROX CORPORATION;6/23/2015;9/30/2015;PRINTING & REPRODUCTION;124.72;2015;XEROX CORPORATION
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/24/2017;AP;907773;XEROX CORPORATION;3/23/2015;6/23/2015;PRINTING & REPRODUCTION;145.08;2015;XEROX CORPORATION
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;1/30/2017;AP;901191;ACCURATE WORD LLC;1/13/2017;1/13/2017;PRINTING & REPRODUCTION;84.95;2017;ACCURATE WORD LLC
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/20/2017;AP;907778;XEROX CORPORATION;9/30/2016;12/29/2016;PRINTING & REPRODUCTION;134.55;2016;XEROX CORPORATION
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/20/2017;AP;907849;BSL GEM LASER EXPRESS LLC;10.01.16;12/31/2016;PRINTING & REPRODUCTION;203.46;2016;BSL GEM LASER EXPRESS LLC
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/20/2017;AP;908104;ACCURATE WORD LLC;03.10.17;03.10.17;PRINTING & REPRODUCTION;179.85;2017;ACCURATE WORD LLC
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/20/2017;AP;907776;XEROX CORPORATION;6/23/2016;9/30/2016;PRINTING & REPRODUCTION;112.09;2016;XEROX CORPORATION
;SERGEANT AT ARMS;2017Q1;NON - PERSONNEL;PRINTING AND REPRODUCTION;3/24/2017;AP;907777;XEROX CORPORATION;9/30/2015;01.06.16;PRINTING & REPRODUCTION;95.1;2016;XEROX CORPORATION
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.03.17;AP;901833;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;191.85;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.03.17;AP;901841;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;71.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.03.17;AP;901842;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.03.17;AP;901843;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.03.17;AP;901844;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;71.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.07.17;AP;901819;RODRIGUEZ ANGELICA;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;9.15;2017;RODRIGUEZ ANGELICA
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.07.17;AP;901825;BUTLER PETER A.;1/13/2017;1/13/2017;PRINTING & REPRODUCTION;10.74;2017;BUTLER PETER A.
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.07.17;AP;901836;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;51.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.07.17;AP;901837;ACCURATE WORD LLC;1/30/2017;1/30/2017;PRINTING & REPRODUCTION;51.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.07.17;AP;901838;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;51.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;02.07.17;AP;901839;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;2/16/2017;AP;902728;ACCURATE WORD LLC;02.03.17;02.03.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;2/27/2017;AP;906700;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;116.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;03.06.17;AP;907271;ACCURATE WORD LLC;2/23/2017;2/23/2017;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;03.06.17;AP;907274;ACCURATE WORD LLC;2/23/2017;2/23/2017;PRINTING & REPRODUCTION;71.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;03.07.17;AP;907276;ACCURATE WORD LLC;2/23/2017;2/23/2017;PRINTING & REPRODUCTION;51.9;2017;ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;WOUNDED WARRIOR EXPENSES;PRINTING AND REPRODUCTION;3/16/2017;AP;907812;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/24/2017;AP;E0480011;SAYES OFFICE SUPPLY;12/15/2016;01.04.17;PRINTING & REPRODUCTION;16.9;2017;SAYES OFFICE SUPPLY
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483334;ACCURATE WORD LLC;1/17/2017;1/17/2017;PRINTING & REPRODUCTION;119.9;2017;ACCURATE WORD LLC
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;E0490116;ACCURATE WORD LLC;02.10.17;02.10.17;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/24/2017;AP;E0490773;SAYES OFFICE SUPPLY;1/13/2017;02.02.17;PRINTING & REPRODUCTION;16.5;2017;SAYES OFFICE SUPPLY
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/24/2017;AP;E0490781;ACCURATE WORD LLC;2/14/2017;2/14/2017;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.10.17;AP;E0495334;ACCURATE WORD LLC;03.01.17;03.01.17;PRINTING & REPRODUCTION;74.95;2017;ACCURATE WORD LLC
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-STK SHUTTERSTOCK INC.;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;49;2017;CITI PCARD-STK SHUTTERSTOCK INC.
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0499215;ACCURATE WORD LLC;03.09.17;03.09.17;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/30/2017;1/30/2017;PRINTING & REPRODUCTION;33.78;2017;PUBLIC PRINTER
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/31/2017;1/31/2017;PRINTING & REPRODUCTION;145.34;2017;PUBLIC PRINTER
A000374;HON. RALPH ABRAHAM;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/15/2017;AP;E0487705;BSL GEM LASER EXPRESS LLC;10.01.16;12/31/2016;PRINTING & REPRODUCTION;203.8;2016;BSL GEM LASER EXPRESS LLC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0485695;DAVID L ANDRUKITIS INC;1/31/2017;1/31/2017;PRINTING & REPRODUCTION;115;2017;DAVID L ANDRUKITIS INC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0485696;DAVID L ANDRUKITIS INC;1/31/2017;1/31/2017;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486899;DAVID L ANDRUKITIS INC;02.06.17;02.06.17;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486900;ACCURATE WORD LLC;02.07.17;02.07.17;PRINTING & REPRODUCTION;165.8;2017;ACCURATE WORD LLC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.09.17;AP;E0492105;DAVID L ANDRUKITIS INC;2/16/2017;2/16/2017;PRINTING & REPRODUCTION;257.5;2017;DAVID L ANDRUKITIS INC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/22/2017;AP;E0496798;DAVID L ANDRUKITIS INC;2/22/2017;2/22/2017;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0498967;ACCURATE WORD LLC;03.07.17;03.07.17;PRINTING & REPRODUCTION;114.85;2017;ACCURATE WORD LLC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/18/2017;AP;E0477274;DAVID L ANDRUKITIS INC;12/28/2016;12/28/2016;PRINTING & REPRODUCTION;40;2016;DAVID L ANDRUKITIS INC
A000370;HON. ALMA S. ADAMS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0479796;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;40;2016;DAVID L ANDRUKITIS INC
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;97.68;2017;PUBLIC PRINTER
